Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
overtro,noun,low,3.654601321,few,3,low,7,6,3,
papir,noun,high,6.71,few,3,medium,5,5,2,
papp,noun,medium,6.135794769,many,21,medium,4,3,1,
pasta,noun,high,6.67,some,10,medium,5,5,2,
pen,adjective,medium,5.560006205,many,21,high,3,3,1,
penger,noun,medium,6.452258031,some,14,medium,6,5,2,
plagsom,adjective,low,4.136918313,few,2,medium,7,7,2,
plastilina,noun,medium,6.034441917,no info,,,10,10,4,
plutselig,adjective,low,3.192246678,few,1,low,9,8,3,
poesi,noun,medium,4.695415476,few,0,low,5,5,3,
politi,noun,high,6.65,few,2,medium,6,6,3,
pommes frites,noun,high,6.704856594,few,0,low,13,7,2,
popkorn,noun,high,6.72698359,few,1,low,7,6,2,
potetgull,noun,medium,6.38693424,few,1,low,9,8,3,
praktisk,adjective,low,3.573579911,few,1,medium,8,8,2,
primitiv,adjective,low,4.0234641,few,1,medium,8,8,3,
psykisk,adjective,low,3.43,few,3,medium,7,6,2,
rampete,adjective,medium,4.772702783,some,13,low,7,7,3,
rar,adjective,low,3.627619259,many,33,high,3,3,1,
rasende,adjective,medium,5.462591441,many,31,medium,7,6,3,
realistisk,adjective,low,3.394848709,few,1,medium,10,10,4,
redd,adjective,medium,5.113331463,many,24,high,4,3,1,
regn,noun,high,6.730045074,many,30,medium,4,3,1,
regntøy,noun,medium,6.245021693,few,2,low,7,5,2,
reklame,noun,medium,5.39671174,few,2,medium,7,7,3,
ren,adjective,medium,5.132949937,many,29,high,3,3,1,
resolutt,adjective,low,3.591079077,few,1,low,8,7,3,
rett,adjective,medium,5.338886049,many,33,high,4,3,1,
riktig,adjective,low,3.763787288,some,4,high,6,5,2,
ris,noun,medium,6.180965652,many,38,high,3,3,1,
rød,adjective,medium,6.540319122,many,34,high,3,2,1,
rødvin,noun,medium,6.465917771,few,1,low,6,5,2,
rolig,adjective,low,4.380898342,few,3,medium,5,4,2,
rosa,adjective,medium,6.241585301,some,17,medium,4,4,2,
rotete,adjective,medium,6.149163468,some,14,medium,6,6,3,
rund,adjective,medium,6.043792451,many,23,high,4,3,1,
rutete,adjective,medium,6.363189729,some,18,medium,6,6,3,
ryddig,adjective,medium,4.824229319,some,4,medium,6,4,2,
saft,noun,high,6.699245791,some,14,high,4,4,1,
salt,noun,medium,6.176367977,many,29,high,4,4,1,
sand,noun,medium,6.437783613,many,31,high,4,3,1,
sann,adjective,low,2.146123501,many,31,high,4,3,1,
såpe,noun,high,6.85,many,21,medium,4,4,2,
satire,noun,low,3.509377516,few,2,low,6,6,3,
saus,noun,medium,6.140319122,some,16,medium,4,3,1,
sein,adjective,low,3.618852848,many,26,high,4,3,1,
sensur,noun,low,4.209607494,few,1,low,6,6,2,
sentrum,noun,medium,5.460564854,few,1,low,7,7,2,
servering,noun,medium,5.3,few,1,low,9,8,3,
sikker,adjective,low,3.04662461,some,9,high,6,5,2,
sikkerhet,noun,low,3.963910102,few,1,low,9,8,3,
sint,adjective,medium,5.167399505,many,23,high,4,4,1,
sirup,noun,medium,6.354755671,few,0,low,5,5,2,
sist,adjective,medium,4.633688079,some,16,high,4,4,1,
sjalusi,noun,low,4.032206549,few,0,low,7,6,3,
sjampo,noun,medium,6.307774094,few,0,low,6,5,2,
sjarm,noun,low,4.212850552,some,12,medium,5,4,1,
sjokolade,noun,medium,6.509685916,few,2,low,9,8,4,
skadefro,adjective,low,3.700825672,few,1,low,8,8,3,
skadefryd,noun,low,3.87984564,few,0,low,9,9,3,
skeiv,adjective,medium,5.198374542,many,19,medium,5,3,1,
skeptisk,adjective,low,3.443189729,few,2,medium,8,8,2,
skikkelig,adjective,low,2.14226388,few,1,medium,9,6,3,
skitten,adjective,medium,5.758224376,some,8,medium,7,5,2,
skjønn,adjective,low,3.66,some,15,medium,6,3,1,
skodde,noun,medium,5.62745366,some,13,medium,6,5,2,
skog,noun,high,6.666023471,some,7,medium,4,4,1,
skrekk,noun,medium,5.135430517,some,8,medium,6,5,1,
skremmende,adjective,low,4.048971626,few,3,low,10,8,3,
skremt,adjective,medium,5.264373818,some,6,medium,6,6,1,
skrøpelighet,noun,medium,5.131686242,no info,,,12,12,4,
skummel,adjective,medium,4.780670311,few,2,medium,7,6,2,
skyld,noun,low,2.75982075,many,19,medium,5,3,1,
slem,adjective,low,3.972561966,some,13,medium,4,4,1,
sliten,adjective,medium,4.597323898,some,7,high,6,6,2,
smør,noun,medium,6.485987696,some,5,medium,4,4,1,
snakk,noun,low,4.221221685,some,11,medium,5,4,1,
snill,adjective,low,4.309740117,some,9,medium,5,4,1,
snø,noun,high,6.825449942,some,12,medium,3,3,1,
snop,noun,medium,6.264699946,some,12,medium,4,4,1,
snørr,noun,medium,6.49,some,9,medium,5,4,1,
solbriller,noun,high,7.039346761,few,2,low,10,9,3,
søppel,noun,medium,6.013009147,few,2,low,6,5,2,
sorg,noun,medium,5.16793104,some,9,medium,4,4,1,
sort,adjective,medium,6.325595948,some,8,high,4,3,1,
søt,adjective,medium,5.3977456,many,26,medium,3,3,1,
søvnig,adjective,medium,5.580501366,few,1,low,6,5,2,
spagetti,noun,high,6.852561966,few,0,low,8,7,3,
spennende,adjective,low,4.184159639,some,10,low,9,7,3,
stakkars,adjective,low,3.567596134,few,2,medium,8,6,2,
sterkt,adjective,medium,4.52,few,3,medium,6,6,1,
stilisert,adjective,low,3.507371002,few,2,low,9,8,3,
stille,adjective,low,4.146381439,many,22,high,6,5,2,
stødig,adjective,medium,4.541206075,few,3,medium,6,5,2,
stolt,adjective,low,4.365372765,some,8,medium,5,5,1,
stor,adjective,medium,4.822932793,many,19,high,4,4,1,
straff,noun,low,4.430333167,some,5,medium,6,5,1,
stygg,adjective,low,4.400779244,some,5,medium,5,4,1,
sukker,noun,high,6.816905429,some,4,medium,6,5,2,
sukkertøy,noun,medium,6.337767123,few,2,low,9,6,3,
sulten,adjective,low,4.390210479,some,11,medium,6,6,2,
suppe,noun,high,6.679982745,many,23,medium,5,4,2,
sur,adjective,medium,5.428082013,many,35,high,3,3,1,
svær,adjective,medium,5.342099421,some,9,high,4,4,1,
svart,adjective,medium,6.499159988,some,7,medium,5,4,1,
svett,adjective,medium,6.14,some,12,high,5,4,1,
sydlandsk,adjective,low,4.370440381,few,1,low,9,8,2,
syk,adjective,medium,5.964570781,many,20,high,3,3,1,
syltetøy,noun,high,6.653503463,few,3,low,8,7,3,
sympati,noun,low,3.753606401,few,0,low,7,7,3,
tabu,noun,low,3.269086344,few,2,low,4,4,2,
tåke,noun,medium,6.518083024,many,20,medium,4,4,2,
tall,noun,medium,6.21,many,39,high,4,3,1,
tang (alge),noun,medium,6.37,many,30,high,4,3,1,
tarmer,noun,medium,6.38,some,10,medium,6,6,2,
te,noun,medium,6.350828308,many,33,high,2,2,1,
tekkelig,adjective,low,3.707216492,some,4,medium,8,6,3,
tekstil,noun,medium,5.533224137,few,2,low,7,7,2,
tenkende,adjective,medium,4.984330685,some,12,medium,8,7,3,
tid,noun,low,3.871027316,many,30,high,3,2,1,
tidlig,adjective,low,4.437708698,some,6,medium,6,4,2,
tilgivelse,noun,low,3.649164445,few,3,low,10,10,4,
tilstøtende,adjective,low,2.565624535,few,1,low,11,10,4,
tiss,noun,medium,6.6,many,31,high,4,3,1,
tissetrengt,adjective,medium,5.65,few,1,low,11,9,3,
tom,adjective,medium,5.487933615,some,15,medium,3,3,1,
tørr,adjective,medium,4.737521065,some,10,medium,4,3,1,
tørst,adjective,medium,5.045132515,some,6,high,5,4,1,
tøy,noun,medium,5.786439077,many,28,high,3,2,1,
tradisjonell,adjective,low,3.4,few,2,medium,12,10,4,
tran,noun,high,6.666080797,some,12,medium,4,4,1,
transport,noun,medium,5.46,few,0,low,9,8,2,
trasig,adjective,low,3.884572511,some,4,low,6,5,2,
treg,adjective,low,4.256932562,some,11,high,4,4,1,
trist,adjective,medium,5.450701875,some,11,medium,5,5,1,
trolig,adjective,low,2.22,few,3,medium,6,5,2,
trøtt,adjective,medium,5.45,some,11,medium,5,4,1,
trygg,adjective,low,4.16,some,9,medium,5,4,1,
trygghet,noun,low,3.662937752,few,1,low,8,7,2,
tull,noun,low,3.59555747,many,29,high,4,3,1,
tung,adjective,medium,4.967087717,some,9,high,4,3,1,
tydelig,adjective,low,3.13610864,few,3,medium,7,6,3,
typisk,adjective,low,2.684741193,few,1,medium,6,6,2,
uaffisert,adjective,low,3.822231182,no info,,,9,8,4,
uheldig,adjective,low,3.45,few,1,medium,7,6,3,
ukonsentrert,adjective,low,4.22158831,no info,,,12,11,4,
ulik,adjective,low,4.008514249,few,2,medium,4,4,2,
ung,adjective,medium,4.854426581,some,11,medium,3,2,1,
uoppmerksom,adjective,low,3.918394237,few,2,low,11,10,4,
urealistisk,adjective,low,2.173668063,few,1,low,11,11,5,
urolig,adjective,medium,5.021832513,few,2,medium,6,5,3,
usikker,adjective,low,3.597214414,few,2,medium,7,6,3,
ustødig,adjective,medium,5.386786942,no info,,,7,6,3,
utdypende,adjective,low,2.61226744,few,2,low,9,8,4,
utkikk,noun,low,3.99491412,few,3,low,6,5,2,
utstyr,noun,medium,5.062128755,few,2,medium,6,6,2,
utydelig,adjective,medium,4.945535222,few,1,low,8,7,4,
uviss,adjective,low,2.339659072,some,4,medium,5,4,2,
våken,adjective,medium,5.574890804,some,16,medium,5,5,2,
vakker,adjective,medium,5.883189729,few,2,medium,6,5,2,
vanlig,adjective,low,3.110669966,few,2,medium,6,5,2,
vann,noun,medium,6.561256297,many,35,high,4,3,1,
vanskelig,adjective,low,2.927048086,few,1,medium,9,8,3,
varm,adjective,medium,5.20667181,some,14,medium,4,4,1,
våt,adjective,medium,5.844755934,many,24,high,3,3,1,
veldig,adjective,low,3.083860616,few,3,medium,6,5,2,
velfrisert,adjective,medium,5.235349015,few,1,low,10,9,3,
velkledd,adjective,medium,5.530053621,no info,,,8,7,2,
vellykket,adjective,low,4.088362619,few,2,low,9,7,3,
venstre,adjective,medium,4.964009296,few,0,low,7,7,2,
verktøy,noun,medium,6.137420547,few,2,medium,7,6,2,
vesentlig,adjective,low,2.204542335,few,2,medium,9,8,3,
vett,noun,low,3.637668766,many,35,high,4,3,1,
vid,adjective,low,4.372789997,many,33,high,3,2,1,
vidunderlig,adjective,low,3.938750744,few,1,low,11,9,4,
viktig,adjective,low,3.58382022,some,7,medium,6,5,2,
vilje,noun,low,3.533969655,some,10,high,5,5,2,
vill,adjective,low,4.411192466,many,30,high,4,3,1,
vin,noun,high,6.67937039,many,30,high,3,3,1,
vind,noun,medium,5.688378407,many,34,high,4,3,1,
visdom,noun,low,3.864581773,few,0,low,6,6,2,
vitenskapelig,adjective,low,2.98,few,1,medium,13,12,5,
voksen,adjective,medium,5.016813284,some,8,medium,6,6,2,
voldelig,adjective,medium,5.272702783,few,1,medium,8,7,3,
voldsom,adjective,low,4.337079005,few,2,medium,7,6,2,
vond,adjective,low,4.196405613,some,10,high,4,3,1,
vondt,adjective,medium,4.97,some,8,medium,5,4,1,
whisky,noun,medium,6.355726718,few,3,medium,6,5,2,
yoghurt,noun,high,6.760745908,few,0,low,7,5,2,
