Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
et klesskap,noun,high,6.668067495,few,2,low,8,8,2,
et kne,noun,medium,6.516236721,some,13,high,3,3,1,
et knekkebrød,noun,high,6.675225546,few,2,low,10,8,3,
et knep,noun,low,3.552095974,some,12,medium,4,4,1,
et kompass,noun,high,6.76,few,2,low,7,6,2,
et kors,noun,high,6.91499745,many,20,high,4,3,1,
et kranium,noun,high,6.75,few,0,low,7,7,3,
et krav,noun,low,3.708544414,many,19,medium,4,4,1,
et kritt,noun,medium,6.39368309,some,16,medium,5,4,1,
et krus,noun,high,6.77,some,14,medium,4,4,1,
et krusifiks,noun,medium,5.84,few,2,low,9,9,3,
et kryss,noun,medium,6.38257638,some,9,medium,5,4,1,
et kyss,noun,high,6.629743511,some,15,medium,4,3,1,
et lam,noun,high,6.603906314,many,28,high,3,3,1,
et land,noun,medium,5.351656468,many,33,high,4,3,1,
et lass,noun,medium,5.64,many,37,high,4,3,1,
et loft,noun,high,6.63,some,10,medium,4,4,1,
et løfte,noun,low,2.892383428,some,11,medium,5,5,2,
et lommetørkle,noun,medium,6.511862143,few,1,low,11,10,4,
et løv,noun,medium,6.51,many,27,high,3,3,1,
et lovbrudd,noun,low,4.199890804,few,2,low,8,7,2,
et lys,noun,high,6.614929213,many,28,high,3,3,1,
et mål (sport),noun,medium,6.37,many,19,high,3,3,1,
et mangfold,noun,low,4.4,few,2,medium,8,6,2,
et materiale,noun,low,4.249509222,few,3,medium,9,9,5,
et medlem,noun,low,3.683189729,few,2,low,6,6,2,
et menneske,noun,medium,6.404074716,few,2,medium,8,7,3,
et mirakel,noun,low,3.75074449,few,1,low,7,7,3,
et museum,noun,medium,6.18,few,0,low,6,6,3,
et nebb,noun,medium,6.494872147,some,9,medium,4,3,1,
et offer,noun,low,4.1,few,3,medium,5,4,2,
et område,noun,medium,4.71,few,3,medium,6,6,3,
et ønske,noun,low,3.674535503,some,7,high,5,5,2,
et opplegg,noun,low,3.555116042,some,4,medium,7,5,2,
et ord,noun,low,4.364572511,many,31,high,3,2,1,
et øre (kroppsdel),noun,high,6.650079918,many,29,high,3,3,2,
et øre (mynt),noun,medium,6.157313779,many,29,high,3,3,2,
et orgel,noun,high,6.628211528,few,1,low,5,5,2,
et øye,noun,high,6.712041666,many,19,medium,3,2,2,
et øyeblikk,noun,low,3.402629466,few,2,medium,8,6,3,
et øyenbryn,noun,medium,6.523614753,few,3,low,8,7,3,
et palass,noun,medium,6.419245083,some,4,low,6,5,2,
et paradoks,noun,low,2.512327196,few,2,low,8,8,3,
et piano,noun,high,6.889164445,few,2,low,5,5,3,
et piggsvin,noun,high,6.63703441,few,3,low,8,7,2,
et plagg,noun,medium,5.643397165,some,12,high,5,4,1,
et plaster,noun,high,6.78,some,5,medium,7,7,2,
et pledd,noun,high,6.644589631,some,8,medium,5,4,1,
et pølsebrød,noun,high,6.845195344,no info,,,9,8,3,
et popkorn,noun,high,6.746763457,few,1,low,7,6,2,
et postbud,noun,medium,6.4293253,few,2,low,7,7,2,
et prinsipp,noun,low,2.897635851,few,2,medium,8,7,2,
et problem,noun,low,3.295211257,few,2,medium,7,7,2,
et produkt,noun,low,3.617601365,few,2,medium,7,7,2,
et publikum,noun,medium,6.26,few,1,low,8,8,3,
et puslespill,noun,medium,6.46069845,few,2,low,10,9,3,
et råd,noun,low,3.49,some,18,medium,3,3,1,
et ran,noun,medium,5.876959202,many,34,high,3,3,1,
et ras,noun,medium,6.324229319,many,37,high,3,3,1,
et ratt,noun,high,6.8,many,45,high,4,3,1,
et rede,noun,high,6.76741773,many,23,medium,4,4,2,
et redskap,noun,medium,4.997253777,few,2,low,7,6,2,
et redskapsskjul,noun,medium,6.548444092,no info,,,13,11,3,
et reinsdyr,noun,high,6.803104422,few,2,low,8,7,2,
et reir,noun,high,6.610293136,many,27,medium,4,3,1,
et rep,noun,medium,6.35,many,20,high,3,3,1,
et resultat,noun,low,3.851441293,few,2,medium,8,8,3,
et rom,noun,medium,6.222621177,many,20,medium,3,3,1,
et rør,noun,high,6.65,many,37,high,3,3,1,
et rykk,noun,low,3.999573318,many,19,medium,4,3,1,
et sår,noun,medium,6.45,many,35,high,3,3,1,
et sinne,noun,low,3.971111576,many,29,high,5,4,2,
et sirkus,noun,medium,6.408450168,few,2,low,6,6,2,
et sjal,noun,medium,6.477967824,many,19,medium,4,3,1,
et skadeomfang,noun,low,3.5,no info,,,11,no info,no info,
et skap,noun,high,6.873411633,some,15,medium,4,4,1,
et skaut,noun,medium,6.416255978,some,11,medium,5,4,1,
et skip,noun,high,6.679077249,some,15,medium,4,3,1,
et skjegg,noun,high,6.83,some,15,medium,6,3,1,
et skjelett,noun,high,6.65,few,2,low,8,5,2,
et skjell,noun,high,6.785337932,many,29,high,6,3,1,
et skjerf,noun,high,6.608385081,some,7,medium,6,4,1,
et skjønn,noun,low,2.334503081,some,15,medium,6,3,1,
