Word,English translation,Word class,Imageability (level),Imageability,Subjective AoA (level),Subjective AoA,Usage frequency (level),Usage frequency,Usage frequency per million words,No. phonological neighbours (level),No. phonological neighbours,Phonological neighbourhood density (level),Phonological neighbourhood density,Phonological neighbours,No. letters,No. sounds,No. syllables,Derivation?,Compound?,First sound fricative?,Starts in consonant cluster?,Grammatical gender,Mainly used in plural?,Mass noun?,Valency,Transitivity,Multi-word phrase?
å synke,to sink,verb,medium,5.72314448,medium,5.305084746,medium,19514,27.87714286,some,8,medium,23912,"synge (20), senke (10), sanke (1), sinke (<1), rynke (<1), ynke (<1), dynke (<1), synkes (<1)",5,5,2,FALSE,FALSE,TRUE,FALSE,,,,1,intransitive,FALSE
å syns,to be visual,verb,low,3.341207791,medium,6.818181818,high,327999,468.57,some,5,medium,76151,"synd (47), synd (47), sans (14), synt (<1), synda (<1)",4,4,1,FALSE,FALSE,TRUE,FALSE,,,,1,intransitive,FALSE
å ta,to take,verb,low,4.322223651,early,3.357142857,high,1419660,2028.085714,many,33,high,14132453,"av (11419), da (1902), ha (1378), to (1358), hva (1324), tid (565), tar (524), ja (400), la (341), sa (306), ti (122), ga (115), tak (88), tas (65), tap (57), ba (39), te (36), bad (32), va (29), tja (16), fa (8), ah (7), ty (6), thai (5), ra (5), tau (5), tå (4), sta (4), tøy (3), tu (3), pas (2), tal (2), tan (1), tee (1), tai (1), tø (<1), utta (<1), sjah (<1), tav (<1)",2,2,1,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å ta bilde,to photograph,verb,medium,6.548353689,medium,4.092592593,medium,17026,24.32285714,no info,,,,no info,8,8,3,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å tabbe seg ut,to make a fool of oneself,verb,medium,4.568682348,late,8.75,low,528,0.754285714,no info,,,,no info,12,9,4,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å tale,,verb,medium,5.24,,,medium,29497,42.13857143,many,27,medium,113614,"taler (25), tape (20), tåle (16), uttale (14), male (13), gale (12), tele (10), talen (8), talte (7), dale (7), ale (5), hale (4), bale (2), talet (2), sale (2), tales (1), pale (1), tare (1), tala (<1), tøyle (<1), talle (<1), tile (<1), tane (<1), tilet (<1), atale (<1), lale (<1), trale (<1), tave (<1)",4,4,2,FALSE,FALSE,FALSE,FALSE,,,,,alternating,FALSE
å tapetsere,to hang wallpaper,verb,medium,5.984883797,late,8.5,low,365,0.521428571,some,4,low,149,"tapetserte (<1), tapetserer (<1), tapetseres (<1), tapetser (<1)",9,9,4,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å tappe,to drain,verb,medium,5.198242458,late,7.833333333,medium,5282,7.545714286,many,34,medium,93823,"tapte (36), takke (22), tape (20), mappe (5), kjappe (5), teppet (5), tippe (4), tabbe (4), teppe (4), kappe (3), tappet (2), tapper (2), trappe (2), toppe (2), tamme (1), stappe (1), tappes (1), rappe (1), nappe (<1), tapre (<1), tagge (<1), lappe (<1), sjappe (<1), talle (<1), tuppe (<1), tasse (<1), tappa (<1), tange (<1), pappe (<1), tajet (<1), tatte (<1), tampe (<1), taje (<1), tarse (<1), tanne (<1), sappe (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å tegne,to draw,verb,medium,6.343262852,early,2.696428571,medium,25211,36.01571429,many,21,high,239630,"egne (179), regne (32), tone (31), tape (20), tegnet (17), tegnet (17), tine (12), tegner (8), vegne (7), teite (2), tegnes (1), reine (1), meine (1), steine (1), heine (1), tyne (1), seine (<1), teiner (<1), tegna (<1), hegne (<1), beine (<1), teipe (<1), teina (<1), tane (<1), teinen (<1), segne (<1), skeine (<1), teinet (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å teipe,to stick with adhesive tape,verb,medium,6.069339147,medium,5.083333333,low,440,0.628571429,some,13,medium,124092,"type (96), taper (26), tape (20), tapet (16), tegne (11), teite (2), tapes (1), teipet (<1), tapa (<1), teine (<1), tåpe (<1), teiper (<1), teipa (<1), teipes (<1), geipe (<1), reipe (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
